"s","ID","nome","starttime","endTime"
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/018011-(2006-05-12)","018011","BASTIDA PANCARANA",2006-05-12,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/018013-(1961-03-09)","018013","BELGIOIOSO",1961-03-09,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/018021-(1958-03-30)","018021","BRALLO DI PREGOLA",1958-03-30,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/018033-(1948-01-01)","018033","CASEI GEROLA",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/018037-(1948-01-01)","018037","CASTEGGIO",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/018057-(1948-01-01)","018057","CORVINO SAN QUIRICO",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/018067-(1948-01-01)","018067","GAMBARANA",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/018075-(1948-01-01)","018075","GRAVELLONA LOMELLINA",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/018095-(1958-03-30)","018095","MONTEBELLO DELLA BATTAGLIA",1958-03-30,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/018101-(1948-01-01)","018101","MORNICO LOSANA",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/018111-(1948-01-01)","018111","PIETRA DE' GIORGI",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/018117-(1956-06-06)","018117","PONTE NIZZA",1956-06-06,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/018121-(1948-01-01)","018121","RETORBIDO",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/018125-(1948-01-01)","018125","ROCCA DE' GIORGI",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/018131-(1948-01-01)","018131","ROVESCALA",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/018145-(1948-01-01)","018145","SAN ZENONE AL PO",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/018153-(1948-01-01)","018153","STRADELLA",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/018155-(1948-01-01)","018155","TORRAZZA COSTE",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/018159-(1948-01-01)","018159","TORRE D'ISOLA",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/018162-(2004-08-28)","018162","TRAVACÒ SICCOMARIO",2004-08-28,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/018165-(1948-01-01)","018165","TROVO",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/018169-(1948-01-01)","018169","VALLE SALIMBENE",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/018179-(1948-01-01)","018179","VILLANOVA D'ARDENGHI",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/018189-(1948-01-01)","018189","ZERBOLÒ",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/018192-(2016-01-01)","018192","CORTEOLONA E GENZONE",2016-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/019005-(1948-01-01)","019005","BAGNOLO CREMASCO",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/019009-(1948-01-01)","019009","CALVATONE",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/019015-(1948-01-01)","019015","CAPRALBA",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/019019-(1948-01-01)","019019","CASALETTO DI SOPRA",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/019020-(1948-01-01)","019020","CASALETTO VAPRIO",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/019029-(1948-01-01)","019029","CHIEVE",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/019039-(1948-01-01)","019039","CUMIGNANO SUL NAVIGLIO",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/019044-(1984-07-27)","019044","FORMIGARA",1984-07-27,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/019049-(1984-07-27)","019049","GOMBITO",1984-07-27,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/019052-(1948-01-01)","019052","GUSSOLA",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/019062-(1948-01-01)","019062","OFFANENGO",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/019065-(1950-12-10)","019065","PADERNO PONCHIELLI",1950-12-10,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/019080-(1948-01-01)","019080","RIPALTA ARPINA",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/019090-(1948-01-01)","019090","SAN GIOVANNI IN CROCE",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/019092-(1948-01-01)","019092","SCANDOLARA RAVARA",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/019096-(1948-01-01)","019096","SOLAROLO RAINERIO",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/020001-(1948-01-01)","020001","ACQUANEGRA SUL CHIESE",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/020011-(1948-01-01)","020011","CASALOLDO",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/020015-(1948-01-01)","020015","CASTEL GOFFREDO",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/020021-(1948-01-01)","020021","CURTATONE",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/020025-(1948-01-01)","020025","GAZZUOLO",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/020035-(1948-01-01)","020035","MOGLIA",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/020045-(1948-01-01)","020045","PORTO MANTOVANO",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/020055-(1948-01-01)","020055","SAN BENEDETTO PO",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/020059-(1948-01-01)","020059","SAN MARTINO DALL'ARGINE",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/097008-(2020-01-01)","097008","BELLANO",2020-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/097018-(1995-01-01)","097018","CASSINA VALSASSINA",1995-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/097028-(1995-01-01)","097028","CREMELLA",1995-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/097038-(1995-01-01)","097038","GARLATE",1995-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/097043-(1995-01-01)","097043","LIERNA",1995-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/097051-(1995-01-01)","097051","MOLTENO",1995-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/097061-(1995-01-01)","097061","OSNAGO",1995-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/097071-(1995-01-01)","097071","ROBBIATE",1995-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/097075-(1995-01-01)","097075","SIRONE",1995-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/097091-(2014-02-04)","097091","VERDERIO",2014-02-04,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/097093-(2018-01-01)","097093","VALVARRONE",2018-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/098003-(1995-01-01)","098003","BOFFALORA D'ADDA",1995-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/098005-(1995-01-01)","098005","BORGO SAN GIOVANNI",1995-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/098013-(1995-01-01)","098013","CASTELNUOVO BOCCA D'ADDA",1995-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/098015-(1995-01-01)","098015","CASTIRAGA VIDARDO",1995-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/098023-(1995-01-01)","098023","CORNOVECCHIO",1995-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/098033-(1995-01-01)","098033","MACCASTORNA",1995-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/098037-(1995-01-01)","098037","MASSALENGO",1995-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/098043-(1995-01-01)","098043","OSPEDALETTO LODIGIANO",1995-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/098047-(1995-01-01)","098047","SAN FIORANO",1995-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/098057-(1995-01-01)","098057","TERRANOVA DEI PASSERINI",1995-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/108008-(2009-06-30)","108008","BESANA IN BRIANZA",2009-06-30,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/108018-(2009-06-30)","108018","CERIANO LAGHETTO",2009-06-30,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/108028-(2009-06-30)","108028","LISSONE",2009-06-30,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/108031-(2009-06-30)","108031","MEZZAGO",2009-06-30,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/108038-(2009-06-30)","108038","RONCO BRIANTINO",2009-06-30,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/108041-(2009-06-30)","108041","SOVICO",2009-06-30,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/012017-(1948-01-01)","012017","BREBBIA",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/012029-(1952-10-18)","012029","CAIRATE",1952-10-18,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/012040-(1948-01-01)","012040","CASSANO MAGNAGO",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/012049-(1948-01-01)","012049","CAZZAGO BRABBIA",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/012050-(1948-01-01)","012050","CISLAGO",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/012052-(1953-07-19)","012052","CLIVIO",1953-07-19,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/012054-(1948-01-01)","012054","COMABBIO",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/012060-(1948-01-01)","012060","CUNARDO",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/012064-(1948-01-01)","012064","DAVERIO",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/012074-(1948-01-01)","012074","GEMONIO",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/012084-(1948-01-01)","012084","ISPRA",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/012093-(1957-08-13)","012093","LUVINATE",1957-08-13,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/012105-(1948-01-01)","012105","MORAZZONE",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/012109-(1948-01-01)","012109","ORIGGIO",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/012129-(1948-01-01)","012129","TRONZANO LAGO MAGGIORE",1948-01-01,9999-12-31
