codice_ente,ente_controllore,punto_prelievo,tipologia_punto_prelievo,indirizzo_punto_prelievo,comune_punto_prelievo,codice_comune,provincia_punto_prelievo,latitudine,longitudine,location,id_campione,macro_categoria_parametro,categoria_parametro,parametro,tipo_parametro,codice_parametro,risultato,unit_misura,esito,data_referto,anno_referto,indirizzo_di_georeferenziazione,frazione_punto_prelievo,valore_testuale,unita_di_misura_testuale,segno
"030321","ATS DELLA CITTA' METROPOLITANA DI MILANO","PO0152249U0002","Punti rete","SCOTTI TRATT. (UV)","TRUCCAZZANO","015224","MILANO","45.4837409","9.469355","POINT (9.469355 45.4837409)","6270-2020-PREL_ACQ-50937-625716","Fisico","conducibilita","conducibilita","Indicatore","3142-01-6","431.0","µS/cm","Conforme","2020-12-09","2020","Via Scotti",,"431","microsiemens per centimetro",
"030321","ATS DELLA CITTA' METROPOLITANA DI MILANO","PO0150779U0071","Punti rete","Via Marconi","CINISELLO BALSAMO","015077","MILANO","45.55046","9.19786","POINT (9.19786 45.55046)","5794-2020-PREL_ACQ-32789-245611","Microbiologico","Batteri","conteggio delle colonie a 22°c","Indicatore",,"48.0","ufc/ml","Conforme","2020-08-25","2020","VIA GUGLIELMO MARCONI",,"48","unita formanti colonia per millilitro",
"030321","ATS DELLA CITTA' METROPOLITANA DI MILANO","PO0152050UM015","Punti rete","REDECESIO I/II MISCELA, Segrate","SEGRATE","015205","MILANO","45.491","9.29499","POINT (9.29499 45.491)","6134-2020-PREL_ACQ-46590-625701","Fisico","conducibilita","conducibilita","Indicatore","3142-01-6","495.0","µS/cm","Conforme","2020-10-23","2020","REDECESIO I/II MISCELA,SEGRATE",,"495","microsiemens per centimetro",
"030321","ATS DELLA CITTA' METROPOLITANA DI MILANO","PO015213NU0001","Punti rete","Via Drizza","SOLARO","015213","MILANO","45.61613","9.07156","POINT (9.07156 45.61613)","1286-2020-PREL_ACQ-4651-245611","Chimico","Fitosanitari","lm6 (metabolita terbutilazina)","Normato",,"0.014","µg/l","Conforme","2020-03-19","2020","VIA DRIZZA",,"0.014","microgrammi per litro",
"030321","ATS DELLA CITTA' METROPOLITANA DI MILANO","PO015072NU0008","Punti rete","Via Asiago","CERRO MAGGIORE","015072","MILANO","45.5882","8.96847","POINT (8.96847 45.5882)","1163-2020-PREL_ACQ-33842-245611","Fisico","conducibilita","conducibilita","Indicatore","3142-01-6","243.0","µS/cm","Conforme","2020-09-17","2020","VIA ASIAGO",,"243","microsiemens per centimetro",
"030321","ATS DELLA CITTA' METROPOLITANA DI MILANO","PO0150590U0003","Punti rete","ALZAIA NAVIGLIO MARTESANA, Cassano D'adda","CASSANO D'ADDA","015059","MILANO","45.53375","9.52138","POINT (9.52138 45.53375)","4492-2020-PREL_ACQ-11189-625772","Fisico","conducibilita","conducibilita","Indicatore","3142-01-6","343.0","µS/cm","Conforme","2020-05-05","2020","VIA ALZAIA NAVIGLIO MARTESANA,CASSANO D'ADDA",,"343","microsiemens per centimetro",
"030321","ATS DELLA CITTA' METROPOLITANA DI MILANO","PO0151899UM005","Punti rete","Via Aspromonte, Rozzano","ROZZANO","015189","MILANO","45.3967291","9.1541806","POINT (9.1541806 45.3967291)","5887-2020-PREL_ACQ-31584-625685","Fisico","conducibilita","conducibilita","Indicatore","3142-01-6","334.0","µS/cm","Conforme","2020-08-21","2020","VIA ASPROMONTE,ROZZANO",,"334","microsiemens per centimetro",
"030321","ATS DELLA CITTA' METROPOLITANA DI MILANO","PO0152050U0012","Punti rete","NENNI, Segrate","SEGRATE","015205","MILANO","45.4973883","9.2882538","POINT (9.2882538 45.4973883)","241-2020-PREL_ACQ-3247-625701","Chimico","Anioni","cloruro","Indicatore","16887-00-6","14.0","mg/l","Conforme","2020-03-19","2020","VIA PIETRO NENNI,SEGRATE",,"14","milligrammi per litro",
"030321","ATS DELLA CITTA' METROPOLITANA DI MILANO","PO0151709U0007","Punti rete","Via Papa Giovanni XXXIII","PERO","015170","MILANO","45.5114578","9.0773265","POINT (9.0773265 45.5114578)","1480-2020-PREL_ACQ-1992-245611","Microbiologico","Batteri","conteggio delle colonie a 22°c","Indicatore",,"44.0","ufc/ml","Conforme","2020-02-17","2020","Via Papa Giovanni XXIII",,"44","unita formanti colonia per millilitro",
"030321","ATS DELLA CITTA' METROPOLITANA DI MILANO","PO0980419UM005","Punti rete","Via Lago Maggiore Miscela, Mulazzano","MULAZZANO","098041","LODI","45.3733155","9.4023953","POINT (9.4023953 45.3733155)","4560-2020-PREL_ACQ-12362-625654","Fisico","durezza","durezza","Indicatore","20001","24.0","°","Conforme","2020-05-20","2020","Via Lago Maggiore",,"24","gradi",
"030321","ATS DELLA CITTA' METROPOLITANA DI MILANO","PO0151829U0053","Punti rete","Via dei Ronchi","RHO","015182","MILANO","45.53464498","9.0531211","POINT (9.0531211 45.53464498)","1553-2020-PREL_ACQ-33012-245611","Chimico","Solventi alogenati","tetracloruro di carbonio","Normato","56-23-5","0.4","µg/l","Conforme","2020-08-28","2020","VIA DEI RONCHI",,"0.4","microgrammi per litro",
"030321","ATS DELLA CITTA' METROPOLITANA DI MILANO","PO015058NU0020","Punti rete","Via Ossona","CASOREZZO","015058","MILANO","45.51962","8.90373","POINT (8.90373 45.51962)","1971-2020-PREL_ACQ-48981-245611","Chimico","Solventi alogenati","somma tetracloroetilene+tricloroetilene","Normato","CHM-TTC-0","3.4","µg/l","Conforme","2020-11-26","2020","STRADA PER OSSONA",,"3.4","microgrammi per litro",
"030323","ATS DELLA MONTAGNA","RE013092XUR007","Punti rete","LOCALITÀ CIMITERO , DOSSO DEL LIRO","DOSSO DEL LIRO","013092","COMO","46.16321","9.27386","POINT (9.27386 46.16321)","C200225","Chimico","Anioni","nitrati","Normato",,"4.3","mg/l","Conforme","2020-03-11","2020","LOCALITÀ,DOSSO DEL LIRO",,"4.3","milligrammi per litro",
"030321","ATS DELLA CITTA' METROPOLITANA DI MILANO","PO0152219UM002","Punti rete","VIA VISCONTI MISC. TRATT. (ARMADIETTO)","TREZZO SULL'ADDA","015221","MILANO","45.6114814","9.5205086","POINT (9.5205086 45.6114814)","218-2020-PREL_ACQ-2952-625714","Chimico","Solventi alogenati","1,1,1-diclorofluoroetano (freon141)","Indicatore","1717-00-6","4.0","µg/l","Conforme","2020-03-04","2020","Via Barnabò Visconti",,"4","microgrammi per litro",
"030321","ATS DELLA CITTA' METROPOLITANA DI MILANO","PO015166NU0049","Punti rete","Via Mazzini","PADERNO DUGNANO","015166","MILANO","45.58354","9.15945999","POINT (9.15945999 45.58354)","1200-2020-PREL_ACQ-26123-245611","Chimico","Metalli","cromo","Normato",,"4.0","µg/l","Conforme","2020-06-24","2020","VIA GIUSEPPE MAZZINI",,"4","microgrammi per litro",
"030321","ATS DELLA CITTA' METROPOLITANA DI MILANO","PO0151729UM014","Punti rete","CANEPA I/II - TRATTATA, Pessano c. Bornago","PESSANO CON BORNAGO","015172","MILANO","45.54758","9.38458","POINT (9.38458 45.54758)","231-2020-PREL_ACQ-1929-625671","Chimico","Anioni","cloruro","Indicatore","16887-00-6","41.0","mg/l","Conforme","2020-03-02","2020","CANEPA I/II-TRATTATA,PESSANO C.BORNAGO",,"41","milligrammi per litro",
"030321","ATS DELLA CITTA' METROPOLITANA DI MILANO","PO015118NU0129","Punti rete","Via Ragazzi del '99","LEGNANO","015118","MILANO","45.60408","8.93983","POINT (8.93983 45.60408)","2676-2020-PREL_ACQ-24066-245611","Fisico","conducibilita","conducibilita","Indicatore","3142-01-6","421.0","µS/cm","Conforme","2020-05-27","2020","VIA RAGAZZI DEL 99",,"421","microsiemens per centimetro",
"030321","ATS DELLA CITTA' METROPOLITANA DI MILANO","PO0151709U0003","Punti rete","Via Risorgimento","PERO","015170","MILANO","45.51938","9.06459","POINT (9.06459 45.51938)","1486-2020-PREL_ACQ-46272-245611","Chimico","Metalli","magnesio","Indicatore","7439-95-4","14.0","mg/l","Conforme","2020-10-20","2020","VIA RISORGIMENTO",,"14","milligrammi per litro",
"030321","ATS DELLA CITTA' METROPOLITANA DI MILANO","PO0150589U0017","Punti rete","Via Bertani","CASOREZZO","015058","MILANO","45.52652","8.9026","POINT (8.9026 45.52652)","1969-2020-PREL_ACQ-29283-245611","Chimico","Solventi alogenati","1,1-dicloroetilene","Indicatore","75-35-4","0.4","µg/l","Conforme","2020-07-31","2020","VIALE MARCO BERTANI",,"0.4","microgrammi per litro",
"030321","ATS DELLA CITTA' METROPOLITANA DI MILANO","PO015130NU0017","Punti rete","Via Fornaroli","MAGENTA","015130","MILANO","45.4657226","8.8856377","POINT (8.8856377 45.4657226)","1828-2020-PREL_ACQ-28426-245611","Fisico","conducibilita","conducibilita","Indicatore","3142-01-6","343.0","µS/cm","Conforme","2020-07-28","2020","VIA GIUSEPPE FORNAROLI",,"343","microsiemens per centimetro",
"030321","ATS DELLA CITTA' METROPOLITANA DI MILANO","PO0151139U0024","Punti rete","Via Lombardia","INVERUNO","015113","MILANO","45.50962","8.84535","POINT (8.84535 45.50962)","2996-2020-PREL_ACQ-27756-245611","Chimico","Solventi alogenati","trialometani totali","Normato",,"2.4","µg/l","Conforme","2020-07-16","2020","VIALE LOMBARDIA",,"2.4","microgrammi per litro",
"030321","ATS DELLA CITTA' METROPOLITANA DI MILANO","PO0150599U0005","Punti rete","GIOVANNI XXIII TRATT.","CASSANO D'ADDA","015059","MILANO","45.52498","9.52214","POINT (9.52214 45.52498)","4492-2020-PREL_ACQ-11189-625772","Chimico","Metalli","calcio","Indicatore","7440-70-2","45.0","mg/l","Conforme","2020-04-30","2020","GIOVANNI XXIII TRATT.",,"45","milligrammi per litro",
"030321","ATS DELLA CITTA' METROPOLITANA DI MILANO","PO0980259UM004","Punti rete","via Dante - Mulino Miscela, Crespiatica","CRESPIATICA","098025","LODI","45.35731","9.57484","POINT (9.57484 45.35731)","154-2020-PREL_ACQ-1793-625609","Chimico","Metalli","calcio","Indicatore","7440-70-2","74.0","mg/l","Conforme","2020-02-20","2020","VIA DANTE-MULINO MISCELA,CRESPIATICA",,"74","milligrammi per litro",
