IdSensore,Data,Valore,Stato,idOperatore,Parametro,unita_di_misura,codice_ats,nome_ats,Tipologia,IdStazione,NomeStazione,Quota,lat,lng,Provincia
8227,2019-12-01 00:00:00,2.0,VA,1,°C,gradi_celsius,030407,ATS DELLA MONTAGNA,Temperatura,904,Paisco Loveno,816,46.07860776076735,10.2969342091421,BS
9011,2019-12-01 00:00:00,-2.8,VA,1,°C,gradi_celsius,030407,ATS DELLA MONTAGNA,Temperatura,1230,San Giacomo Filippo Lago Truzzo,2064,46.36053123729497,9.319988190479972,SO
9012,2019-12-01 00:00:00,0.7,VA,1,°C,gradi_celsius,030407,ATS DELLA MONTAGNA,Temperatura,1238,Val Masino S.Martino,943,46.24144091719049,9.632170040598265,SO
9013,2019-12-01 00:00:00,-2.4,VA,1,°C,gradi_celsius,030407,ATS DELLA MONTAGNA,Temperatura,1220,Ponte di Legno Case Pirli,1640,46.296900814514906,10.506555903978098,BS
9014,2019-12-01 00:00:00,-3.4,VA,1,°C,gradi_celsius,030407,ATS DELLA MONTAGNA,Temperatura,1237,Monno,1728,46.25030387115852,10.308798780947582,BS
9020,2019-12-01 00:00:00,2.0,VA,1,°C,gradi_celsius,030407,ATS DELLA MONTAGNA,Temperatura,1222,Cavargna,1100,46.09154660527014,9.110834411077644,CO
9041,2019-12-01 00:00:00,117.0,VA,1,cm,centimetri,030407,ATS DELLA MONTAGNA,Altezza Neve,1230,San Giacomo Filippo Lago Truzzo,2064,46.36053123729497,9.319988190479972,SO
9042,2019-12-01 00:00:00,33.0,VA,1,cm,centimetri,030407,ATS DELLA MONTAGNA,Altezza Neve,1220,Ponte di Legno Case Pirli,1640,46.296900814514906,10.506555903978098,BS
9043,2019-12-01 00:00:00,35.0,VA,1,cm,centimetri,030407,ATS DELLA MONTAGNA,Altezza Neve,1237,Monno,1728,46.25030387115852,10.308798780947582,BS
9044,2019-12-01 00:00:00,1.0,VA,1,cm,centimetri,030407,ATS DELLA MONTAGNA,Altezza Neve,1222,Cavargna,1100,46.09154660527014,9.110834411077644,CO
9074,2019-12-01 00:00:00,0.4,VA,1,m/s,metri_al_secondo,030407,ATS DELLA MONTAGNA,Velocità Vento,1202,Vercana,980,46.18184257309385,9.324676976148888,CO
9074,2019-12-01 00:00:00,1.3,VA,3,m/s,metri_al_secondo,030407,ATS DELLA MONTAGNA,Velocità Vento,1202,Vercana,980,46.18184257309385,9.324676976148888,CO
9381,2019-12-01 00:00:00,79.0,VA,1,%,percentuale,030407,ATS DELLA MONTAGNA,Umidità Relativa,1238,Val Masino S.Martino,943,46.24144091719049,9.632170040598265,SO
9388,2019-12-01 00:00:00,62.0,VA,1,%,percentuale,030407,ATS DELLA MONTAGNA,Umidità Relativa,1202,Vercana,980,46.18184257309385,9.324676976148888,CO
9397,2019-12-01 00:00:00,64.0,VA,1,%,percentuale,030407,ATS DELLA MONTAGNA,Umidità Relativa,1237,Monno,1728,46.25030387115852,10.308798780947582,BS
9398,2019-12-01 00:00:00,64.0,VA,1,%,percentuale,030407,ATS DELLA MONTAGNA,Umidità Relativa,1220,Ponte di Legno Case Pirli,1640,46.296900814514906,10.506555903978098,BS
9399,2019-12-01 00:00:00,68.0,VA,1,%,percentuale,030407,ATS DELLA MONTAGNA,Umidità Relativa,1222,Cavargna,1100,46.09154660527014,9.110834411077644,CO
9827,2019-12-01 00:00:00,0.0,VA,1,W/m²,watt_al_metroquadro,030407,ATS DELLA MONTAGNA,Radiazione Globale,835,Valdisotto Oga S. Colombano,2300,46.45356305894081,10.305951823970045,SO
9828,2019-12-01 00:00:00,0.0,VA,1,W/m²,watt_al_metroquadro,030407,ATS DELLA MONTAGNA,Radiazione Globale,848,Livigno La Vallaccia,2660,46.47730494291044,10.188728513795668,SO
10570,2019-12-01 00:00:00,-0.4,VA,1,°C,gradi_celsius,030407,ATS DELLA MONTAGNA,Temperatura,1273,Val Masino Bagni,1191,46.24345094940859,9.596430583118106,SO
10571,2019-12-01 00:00:00,77.0,VA,1,%,percentuale,030407,ATS DELLA MONTAGNA,Umidità Relativa,1273,Val Masino Bagni,1191,46.24345094940859,9.596430583118106,SO
10575,2019-12-01 00:00:00,0.0,VA,1,W/m²,watt_al_metroquadro,030407,ATS DELLA MONTAGNA,Radiazione Globale,1273,Val Masino Bagni,1191,46.24345094940859,9.596430583118106,SO
11099,2019-12-01 00:00:00,82.0,VA,1,cm,centimetri,030407,ATS DELLA MONTAGNA,Livello Idrometrico,1200,Porlezza via Porto Letizia,272,46.03628011582886,9.115867206032997,CO
11158,2019-12-01 00:00:00,68.0,VA,1,%,percentuale,030407,ATS DELLA MONTAGNA,Umidità Relativa,1230,San Giacomo Filippo Lago Truzzo,2064,46.36053123729497,9.319988190479972,SO
11159,2019-12-01 00:00:00,40.0,VA,1,°,gradi,030407,ATS DELLA MONTAGNA,Direzione Vento,1230,San Giacomo Filippo Lago Truzzo,2064,46.36053123729497,9.319988190479972,SO
11159,2019-12-01 00:00:00,57.0,VA,3,°,gradi,030407,ATS DELLA MONTAGNA,Direzione Vento,1230,San Giacomo Filippo Lago Truzzo,2064,46.36053123729497,9.319988190479972,SO
11160,2019-12-01 00:00:00,1.0,VA,1,m/s,metri_al_secondo,030407,ATS DELLA MONTAGNA,Velocità Vento,1230,San Giacomo Filippo Lago Truzzo,2064,46.36053123729497,9.319988190479972,SO
11160,2019-12-01 00:00:00,1.8,VA,3,m/s,metri_al_secondo,030407,ATS DELLA MONTAGNA,Velocità Vento,1230,San Giacomo Filippo Lago Truzzo,2064,46.36053123729497,9.319988190479972,SO
11225,2019-12-01 00:00:00,0.7,VA,1,m/s,metri_al_secondo,030407,ATS DELLA MONTAGNA,Velocità Vento,1222,Cavargna,1100,46.09154660527014,9.110834411077644,CO
11225,2019-12-01 00:00:00,0.8,VA,3,m/s,metri_al_secondo,030407,ATS DELLA MONTAGNA,Velocità Vento,1222,Cavargna,1100,46.09154660527014,9.110834411077644,CO
11226,2019-12-01 00:00:00,269.0,VA,1,°,gradi,030407,ATS DELLA MONTAGNA,Direzione Vento,1222,Cavargna,1100,46.09154660527014,9.110834411077644,CO
11226,2019-12-01 00:00:00,254.0,VA,3,°,gradi,030407,ATS DELLA MONTAGNA,Direzione Vento,1222,Cavargna,1100,46.09154660527014,9.110834411077644,CO
11228,2019-12-01 00:00:00,0.0,VA,1,W/m²,watt_al_metroquadro,030407,ATS DELLA MONTAGNA,Radiazione Globale,1075,Edolo Centrale ENEL,659,46.16907080571305,10.340473514382968,BS
11643,2019-12-01 00:00:00,0.0,VA,1,m/s,metri_al_secondo,030407,ATS DELLA MONTAGNA,Velocità Vento,107,Sondrio Fond.Fojanini,307,46.167553376526,9.850940145467526,SO
11643,2019-12-01 00:00:00,0.0,VA,3,m/s,metri_al_secondo,030407,ATS DELLA MONTAGNA,Velocità Vento,107,Sondrio Fond.Fojanini,307,46.167553376526,9.850940145467526,SO
11649,2019-12-01 00:00:00,3.3,VA,1,m/s,metri_al_secondo,030407,ATS DELLA MONTAGNA,Velocità Vento,1075,Edolo Centrale ENEL,659,46.16907080571305,10.340473514382968,BS
11649,2019-12-01 00:00:00,3.9,VA,3,m/s,metri_al_secondo,030407,ATS DELLA MONTAGNA,Velocità Vento,1075,Edolo Centrale ENEL,659,46.16907080571305,10.340473514382968,BS
11653,2019-12-01 00:00:00,0.7,VA,1,m/s,metri_al_secondo,030407,ATS DELLA MONTAGNA,Velocità Vento,129,Capo di Ponte v.Briscioli,362,46.026563542472815,10.34250260860311,BS
11653,2019-12-01 00:00:00,1.0,VA,3,m/s,metri_al_secondo,030407,ATS DELLA MONTAGNA,Velocità Vento,129,Capo di Ponte v.Briscioli,362,46.026563542472815,10.34250260860311,BS
11661,2019-12-01 00:00:00,0.6,VA,1,m/s,metri_al_secondo,030407,ATS DELLA MONTAGNA,Velocità Vento,832,Lanzada Palù,2151,46.29290281845888,9.884519789844443,SO
11661,2019-12-01 00:00:00,1.0,VA,3,m/s,metri_al_secondo,030407,ATS DELLA MONTAGNA,Velocità Vento,832,Lanzada Palù,2151,46.29290281845888,9.884519789844443,SO
11662,2019-12-01 00:00:00,1.7,VA,1,m/s,metri_al_secondo,030407,ATS DELLA MONTAGNA,Velocità Vento,833,Gerola Alta Pescegallo,1875,46.0261906266171,9.571116796075923,SO
11662,2019-12-01 00:00:00,2.7,VA,3,m/s,metri_al_secondo,030407,ATS DELLA MONTAGNA,Velocità Vento,833,Gerola Alta Pescegallo,1875,46.0261906266171,9.571116796075923,SO
11663,2019-12-01 00:00:00,1.9,VA,1,m/s,metri_al_secondo,030407,ATS DELLA MONTAGNA,Velocità Vento,835,Valdisotto Oga S. Colombano,2300,46.45356305894081,10.305951823970045,SO
