"provincia","comune","codice_comune","codice_pp","data_di_campionamento","parametro","coord_est","coord_nord","standard_di_qualit_valore","valore_testuale","cas","wise","other","unita_di_misura","formula_parametro","unita_di_misura_testuale","segno","valore_numerico","anno"
"BG","ARCENE","016011","PO0160110U0005","2019-12-12","Terbutilazina desetil","548,179","5,047,669",,"<0,02","30125-63-4",,,"µg/l",,"microgrammi per litro","<","0,02","2,019"
"BG","ARCENE","016011","PO0160110U0005","2019-12-12","Benzene","548,179","5,047,669",,"<0,2","71-43-2",,,"µg/l",,"microgrammi per litro","<","0,2","2,019"
"BG","ARCENE","016011","PO0160110U0005","2019-12-12","Conducibilità elettrica a 20°C","548,179","5,047,669",,"523",,"WISE 3142-01-6",,"µs/cm",,"conduttività ionica",,"523","2,019"
"BG","ARCENE","016011","PO0160110U0005","2019-12-12","Temperatura (alla fonte)","548,179","5,047,669",,"12,9",,,"CASID10160","°c",,"gradi celsius",,"12,9","2,019"
"BG","ARCENE","016011","PO0160110U0005","2019-12-12","Chlorfenvinphos","548,179","5,047,669",,"<0,02","470-90-6",,,"µg/l",,"microgrammi per litro","<","0,02","2,019"
"BG","ARCENE","016011","PO0160110U0005","2019-12-12","Cianazina","548,179","5,047,669",,"<0,02","21725-46-2",,,"µg/l",,"microgrammi per litro","<","0,02","2,019"
"BG","ARCENE","016011","PO0160110U0005","2019-12-12","Clorpirifos","548,179","5,047,669",,"<0,02","2921-88-2",,,"µg/l",,"microgrammi per litro","<","0,02","2,019"
"BG","ARCENE","016011","PO0160110U0005","2019-12-12","Clorpirifos Metile","548,179","5,047,669",,"<0,02","5598-13-0",,,"µg/l",,"microgrammi per litro","<","0,02","2,019"
"BG","ARCENE","016011","PO0160110U0005","2019-12-12","Esazinone","548,179","5,047,669",,"<0,02","51235-04-2",,,"µg/l",,"microgrammi per litro","<","0,02","2,019"
"BG","ARCENE","016011","PO0160110U0005","2019-12-12","Flufenacet","548,179","5,047,669",,"<0,02","142459-58-3",,,"µg/l",,"microgrammi per litro","<","0,02","2,019"
"BG","ARCENE","016011","PO0160110U0005","2019-12-12","Metalaxyl","548,179","5,047,669",,"<0,02","57837-19-1",,,"µg/l",,"microgrammi per litro","<","0,02","2,019"
"BG","ARCENE","016011","PO0160110U0005","2019-12-12","Oxadiazon","548,179","5,047,669",,"<0,02","19666-30-9",,,"µg/l",,"microgrammi per litro","<","0,02","2,019"
"BG","ARCENE","016011","PO0160110U0005","2019-12-12","Oxadixyl","548,179","5,047,669",,"<0,02","77732-09-3",,,"µg/l",,"microgrammi per litro","<","0,02","2,019"
"BG","ARCENE","016011","PO0160110U0005","2019-12-12","Paration etile","548,179","5,047,669",,"<0,02","56-38-2",,,"µg/l",,"microgrammi per litro","<","0,02","2,019"
"BG","ARCENE","016011","PO0160110U0005","2019-12-12","Paration metile","548,179","5,047,669",,"<0,02","298-00-0",,,"µg/l",,"microgrammi per litro","<","0,02","2,019"
"BG","ARCENE","016011","PO0160110U0005","2019-12-12","Pendimetalin","548,179","5,047,669",,"<0,02","40487-42-1",,,"µg/l",,"microgrammi per litro","<","0,02","2,019"
"BG","ARCENE","016011","PO0160110U0005","2019-12-12","Pretilachlor","548,179","5,047,669",,"<0,02","51218-49-6",,,"µg/l",,"microgrammi per litro","<","0,02","2,019"
"BG","ARCENE","016011","PO0160110U0005","2019-12-12","Propazina","548,179","5,047,669",,"<0,02","139-40-2",,,"µg/l",,"microgrammi per litro","<","0,02","2,019"
"BG","ARCENE","016011","PO0160110U0005","2019-12-12","Secbutilazina","548,179","5,047,669",,"<0,02","7286-69-3",,,"µg/l",,"microgrammi per litro","<","0,02","2,019"
"BG","ARCENE","016011","PO0160110U0005","2019-12-12","TCEP (tris-2cloroetil-fosfato)","548,179","5,047,669",,"<0,02","115-96-8",,,"µg/l",,"microgrammi per litro","<","0,02","2,019"
"BG","ARCENE","016011","PO0160110U0005","2019-12-12","Terbutrina","548,179","5,047,669",,"<0,02","886-50-0",,,"µg/l",,"microgrammi per litro","<","0,02","2,019"
"BG","ARCENE","016011","PO0160110U0005","2019-12-12","Thiobencarb","548,179","5,047,669",,"<0,02","28249-77-6",,,"µg/l",,"microgrammi per litro","<","0,02","2,019"
"BG","ARCENE","016011","PO0160110U0005","2019-12-12","Trifluralin","548,179","5,047,669",,"<0,02","1582-09-8",,,"µg/l",,"microgrammi per litro","<","0,02","2,019"
"BG","ARZAGO D'ADDA","016013","PO0160130R0002","2019-06-12","Cromo totale","545,694","5,035,362",,"2","7440-47-3",,,"µg/l",,"microgrammi per litro",,"2","2,019"
"BG","ARZAGO D'ADDA","016013","PO0160130R0002","2019-06-12","Cromo VI","545,694","5,035,362",,"<2","18540-29-9",,,"µg/l",,"microgrammi per litro","<","2","2,019"
